, x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95
0,-7.518161,5.423677,11.81036,-19.076321,-7.018273,23.841339,1.050206,3.132453,4.403462,-4.042869487804878,11.650628,-1.628703,7.150383,-0.3244396172839506,-6.569049,14.460388588235292,-6.326606,19.353104,-5.192543,-30.319921,-46.781284,11.188258469135803,-9.329588,1.286671,-9.324659,0.021434,-6.784188,-0.10934100000000009,0.249806,-9.426065,-13.055018,-7.045148523255813,-14.26905,-19.44214,0.565724,-5.360941,-3.140313,-1.293608,9.979938,-1.006195,11.643863645569622,7.535949,19.956136,-21.388213,0.396458,-7.583677792682927,3.617977,-11.043177,20.099127,18.50265275,-7.713454,2.72857,-11.125293,9.532392,16.504092,10.005641,-15.49454698863636,-1.531024,-10.607486,-4.088725,-7.815033,-10.565534,7.252523,-5.934466172839507,-17.21525,-6.057203,-22.40771435,15.668489542168674,0.47348,8.063346,0.292972,1.210471,-10.867002240963856,-8.70641,-7.237798,27.858997,-9.080361,7.214529,-2.353104,-1.033498,5.749369,-21.002719,-4.235407,14.856026,-7.669709,-2.59021,-1.943897,3.011972,-31.614019,-3.990017,3.692902,12.826477,-6.889479,3.443535,5.40012
1,-6.37069,7.792366,11.858663,-16.972991271739133,-15.42053,21.68397,1.057192,2.559764,3.1420950000000003,-4.286417,16.29785021686747,-4.631743,5.231463,-1.770633,-14.038242,12.59199,-7.89742,13.172934,-3.985617318181818,-30.718193,-48.498474,9.470035,-9.570738,4.425472,-5.215927395348837,-3.654641,-9.615384,2.625247,-6.643344,-8.566377237499998,-12.282959,-5.611703,-21.810952,-15.12645,2.622056,-2.770515,-2.4838484457831327,3.797391,8.163923,-3.714533,11.7263,10.493439,20.106878,-18.46481,-1.102169,-8.597014,4.7988507671232865,-15.649545,16.867303367816096,13.211777,-12.189531,-1.946032,-12.540393,9.321347,21.412742,5.166925,-13.488966,-3.754423,-8.22286,-2.570999,-8.852446,-13.307839,12.656624943181818,-5.934466172839507,-19.816518,-8.821642,-24.737182,16.988013,1.710817,1.009498,2.812879,5.553564,-13.959325,-8.378521,-7.250594,21.888248,-8.991976,1.592467,-2.04617,-0.603301,4.606239,-20.757964922077925,-4.95373,15.505509290697672,-4.959901,-3.573072,-1.583166,3.7977213488372086,-28.88036,-6.55214,7.270303,10.039281,-7.678936,-0.189822,0.717526
2,-4.229569,2.756115,12.446836,-17.567113,-12.984783,23.436658204819278,2.484515,5.4532813749999995,1.852533,-4.042869487804878,17.486952,-3.7841033253012055,1.930612,-1.332471,-10.048902,14.460388588235292,-6.336131,17.352353,-5.083833,-29.01053196202531,-47.604601,8.150276,-10.117444,0.704339,-0.375152,1.239802,-10.407948,3.395998,-0.899597,-8.491648,-11.01634026190476,-6.843481,-21.579164,-20.428225,3.37196,-0.612664,-5.020169,4.321253,7.600015,-1.941076,10.568386,9.910989,19.451331,-20.548358,3.094631,-8.799349,4.158529,-10.336883,16.834317,15.782778,-7.930533,1.114456,-7.499732,9.04348,18.769666,5.938376,-14.512384,-0.875422,-7.542347,-3.045874,-5.111524604651163,-11.730947,12.776474,-8.402685,-18.539624,-7.120219,-22.40771435,12.391264,4.584661,6.881726,3.167999,5.582137051948051,-10.688834,-9.661116,-8.285392,25.985637,-9.184086675,4.389893,2.915419,-0.240004,0.96302,-20.757964922077925,-0.703412546511628,14.814561,-6.450081,-4.023667,2.648645,4.067629,-32.769482,-5.438118,5.889789,14.186614,-9.527944,0.400832,-2.458897
3,-10.487072,1.460685,9.307533,-21.306282,-19.824912,23.436658204819278,-0.442587,0.743039,-0.376102,-7.535363,14.001357,-7.506995,3.158062,-5.188231,-11.417157,10.642771,-6.281967,14.266091,-6.570729,-29.637151,-53.304492,8.257131,-10.426937,-0.057279,-7.301749,0.526728,-8.864715,-5.659815,-4.260242,-10.478293,-14.303002,-11.614578,-22.283882,-18.69679065934066,-3.641979,-7.880841,-5.825881,1.5358333414634144,7.387441,-4.263991,8.171288,2.613337,17.91705,-21.928951,-3.430399,-10.071897,0.974002,-11.016901,16.867303367816096,18.16487,-15.949924,-0.231139,-10.434424,7.915757898876403,17.718805,5.155496,-17.999065,-6.264321,-6.78880821111111,-6.267898,-6.868919,-15.179679,12.656624943181818,-12.875759,-23.058691,-12.208704,-25.981701,12.222231,5.976293,8.107775,0.136644,2.832283,-13.990068,-7.495333,-6.8715110714285705,24.909461,-10.152258,0.610124,-3.86182,-4.670731,-0.416059,-28.761382,-0.703412546511628,16.16916,-9.926282,-4.987491,3.992532,3.954274,-35.846878,-10.208559,7.024105,8.871258,-7.5144,-3.448892,-2.612379
4,-13.066517,4.812794,10.641948,-17.691825,-14.430159125,19.057921,1.900578,6.133609,-0.771247,-4.042869487804878,16.29785021686747,-6.878507,3.227197,-0.3244396172839506,-9.681328,9.842435,-6.236473,17.282489,-3.985617318181818,-29.01053196202531,-46.076722,11.685361,-11.098326,-0.250886,-7.215364,1.356957,-5.40675,-0.485979,-3.424344,-14.213219,-11.01634026190476,-7.077584,-19.438706,-20.516524,-2.295225,-2.590307,-3.431075,0.656794,7.556496,-2.966623,7.801001,8.131412,16.618893,-20.676296,-2.642823,-8.786525,4.7988507671232865,-7.37572,16.867303367816096,18.152688,-11.726949,-0.002731,-10.421002,4.922581,19.79541915294117,7.606067,-15.928092,0.106829,-9.125727,-7.168265,-5.061987,-17.523786,12.656624943181818,-4.781986,-18.220099,-5.385989,-20.872028,15.668489542168674,1.218669,4.780423,-1.316545,4.905989,-13.810133,-6.351323,-8.898965,25.686846,-9.184086675,0.774705,-2.845252,-0.126812,4.401724,-22.90894,-7.001034,11.095319,-8.243526,-4.021144,3.152862,3.366474,-31.78903009638554,-3.632849,8.186575,10.532577,-7.509476,0.7385170352941175,0.754905
5,-12.34343,1.585807,6.144055,-19.207376,-14.430159125,18.923577,-0.671703,5.871724,0.011926,-7.344098,14.223984,-3.887798,2.665408,-3.476201,-16.142083,11.251393,-4.375320420454545,16.92019,-9.910208,-37.591313,-52.463803,11.188258469135803,-13.606736,2.313018,-5.017948,-4.646947,-13.506759,-0.684134,-6.39131,-8.806207,-13.001201,-7.157286,-19.677208,-17.312224,-2.980935,-5.798267,-2.41823,2.840746,7.613066,-5.197614,7.465943,8.065744542168673,21.892688,-21.504645,-3.624602,-11.281069,5.883876,-13.750337,19.279893,14.750045,-10.533535,-4.047902,-18.045823,12.024375,19.038109,5.449281,-16.048666,-3.599264,-6.557247,-6.204873,-9.500979,-17.801391,12.871295,-8.051381,-21.116756,-5.999866352272727,-22.40771435,13.813749,4.768135,3.222323,6.68347,1.569164,-7.536019,-10.551536,-9.928284,20.899052,-9.184086675,4.848902576470588,-0.625605,-2.250368,3.808202,-25.847887,-4.875353,15.505509290697672,-11.542532,-2.961681933333334,-1.578019,1.510551,-31.78903009638554,-4.899747,5.335232,10.717099,-5.961429,-1.918641,1.116708
6,-11.878412,5.171005,7.476696,-20.9724,-19.574766,19.815471,-0.108392,1.104023,-5.476758,-4.042869487804878,16.29785021686747,-3.7841033253012055,0.968399,-4.842004,-13.253224,14.460388588235292,-12.584264,13.501076,-3.985617318181818,-29.01053196202531,-52.659283,11.188258469135803,-12.525116,0.535911,-10.759076,-4.550772,-11.226612,-1.542811,-6.544612,-8.566377237499998,-12.985887,-7.045148523255813,-19.033614200000002,-21.321106,-5.111268,-8.726674,-4.958251,-3.04492,4.922766,-1.5833111927710843,3.927724,8.065744542168673,21.056619142857144,-23.334486,-1.961309,-10.97302,0.80355,-13.956637,14.560558,15.766427,-10.51152711235955,-1.288605,-11.109784,4.990996,18.414128,3.529648,-20.354681,-5.052789,-8.300663,-3.334113,-5.735121,-14.831773,9.585333,-6.87135,-26.687898,-8.026967,-23.109796,12.029007,-3.440544,3.38935,-1.261754,2.726716,-13.576305,-5.64335555952381,-6.8715110714285705,26.720664941176477,-9.184086675,-0.587125,-5.375203,-5.042653,1.280942,-25.163109,-7.463914,11.762249,-9.919755,-8.303709,-3.511208,-0.642916,-31.78903009638554,-6.226604,7.331478,12.459723081395351,-11.371366,-4.425823,-0.746085
7,-6.886923,4.77575,12.921379,-16.10257,-15.396862,24.421724,2.922743416666666,1.631487,4.273658,-4.108163,15.604798,-3.840787,4.566903845238095,-0.749098,-8.484258,15.048565,-1.041323,18.12823,-1.322018,-29.863919,-41.344482,11.188258469135803,-11.125818,2.813683,-5.05544,0.646725,-6.9696863250000005,-0.333808,-1.40425,-10.294816,-7.705564,-7.261109,-18.054251,-17.648855,4.248729,-2.166034,-2.029699,1.380203,10.454794,-3.79705,13.771341,7.959549,20.290908,-16.978383,-0.9215283536585365,-7.583677792682927,4.7988507671232865,-13.112348,14.431247,18.790594,-8.986799,-0.519856,-8.299815,7.09059,19.029522,9.930205,-14.727769,-1.0548095783132532,-5.932858,-2.549735,-5.079316,-12.034926493975906,13.588765,-6.311827,-20.720579,-3.521583,-17.666306,15.668489542168674,2.923125,8.35599,3.22729,5.582137051948051,-11.87271,-4.60901,-4.431215,26.231914,-7.505514,4.792987,-1.510447,0.610047,4.33618488372093,-20.757964922077925,-0.960649,18.267026,-10.667548,-1.519395,3.154451,4.580693,-32.265212,-2.426063,11.3395,11.987604,-4.387851,4.351146,1.038891
8,-5.641797,6.432033,12.691382,-17.376434,-15.327181,24.301918,3.409882,6.070244,5.097267,-0.423482,20.469387,0.005229,8.088363,1.576768,-7.488523,13.958698,-4.375320420454545,17.579804,-3.019528,-29.01053196202531,-45.99205002352941,14.647309,-7.569739,5.012751,-5.215927395348837,2.098616,-4.260305,3.857458,-2.449215,-8.566377237499998,-8.797733,-7.335459,-20.879407,-18.69679065934066,0.810687,-1.506135,0.675744,4.254503,8.12809,-2.887777,14.849554,10.160295,24.999262,-14.302487,1.491656,-7.392234,4.7988507671232865,-6.730114,18.457179,24.082216,-12.404318,0.295136775,-6.084447,8.872006,20.658999,8.219433577777778,-15.49454698863636,3.888317,-6.78880821111111,-0.735036,-5.025925,-7.214782,14.863349,-9.605451,-17.913072,-6.589297,-21.358081,18.18806,6.03061,6.854444,5.039964,5.582137051948051,-8.68488,-5.64335555952381,-9.827262,31.081561,-5.213531,5.392909,2.036646,-0.056352,1.513634,-24.050237,1.899579,18.771463,-7.7809015365853655,-0.497798,2.701977808988764,8.88905,-27.54474,-4.16598,9.604565,16.250239,-7.430544,3.875365,2.145306
9,-7.961324296703297,6.351975,12.591926720930234,-18.911003,-14.434461,23.158384,5.613799,7.025376,3.1420950000000003,-2.449885,11.275534,-6.802314,-0.902589,-1.383723,-9.149703,17.651587,-6.264214,16.509694,-2.422381,-30.197197,-45.99205002352941,10.079858,-11.366424,0.210473,-7.314461,1.26795,-5.845044,0.07918,-6.265957,-8.566377237499998,-16.63878,-4.457628,-19.091863,-17.335031,-2.13572,-2.531676,1.276747,3.068116,11.633144,-1.765503,14.890681,6.586309,20.358275,-20.020746,-2.935111,-7.583677792682927,4.7988507671232865,-7.788655,16.063102,18.55229,-11.746505,-0.01803,-8.373947,6.931855,13.916847,5.972057,-15.49454698863636,-2.342252,-1.248091,-4.032366,-4.712581,-11.66566,12.66654,-9.504601,-16.479437,-6.239727,-22.40771435,15.668489542168674,3.817369352941176,10.103966,2.306302,5.582137051948051,-14.108687,-4.666659,-6.506678,27.861125,-9.218351,4.848902576470588,0.282915,-0.594049,8.916296,-23.555651,-1.889342,18.486297,-5.873398,-1.004571,6.994019,3.945343,-29.811815,-4.929024144578313,10.439555,7.385539,-8.639726,-5.705962,-0.66859
